id	bank_id	action	detail	operator	snapshot	created_at
1	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:28:42.486Z
2	c-language-basics	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:28:44.807Z
3	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:28:54.320Z
4	c-language-basics	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:28:56.830Z
5	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T01:32:37.722Z
6	c-language-basics	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T01:32:42.878Z
7	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:32:45.225Z
8	c-language-basics	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:32:46.233Z
9	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T01:51:10.144Z
10	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:51:12.317Z
11	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T01:54:41.424Z
12	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:55:19.655Z
13	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T01:55:23.012Z
14	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:56:59.119Z
15	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T01:57:05.717Z
16	c-language-basics	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T01:57:18.474Z
17	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T01:59:05.194Z
18	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:03:28.129Z
19	c-language-basics	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:03:35.442Z
20	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T02:09:23.851Z
21	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T02:09:30.355Z
22	c-language-basics	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:13:38.077Z
23	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:13:52.983Z
24	c-language-basics	toggle	启用题库	7Y4C7C	NULL	2026-06-18T02:13:54.602Z
25	c-language-basics	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:14:05.332Z
26	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T02:14:06.494Z
27	c-language-basics	toggle	启用题库	7Y4C7C	NULL	2026-06-18T02:16:32.000Z
28	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:16:42.743Z
29	c-language-2026-code	toggle	启用题库	7Y4C7C	NULL	2026-06-18T02:18:51.774Z
30	c-language-2026-code	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:18:55.610Z
31	precision-machining-review	toggle	禁用题库	7Y4C7C	NULL	2026-06-18T02:32:50.694Z
32	precision-machining-review	toggle	启用题库	7Y4C7C	NULL	2026-06-18T02:33:25.768Z
