user_id	bank_id	bank_name	answered	correct	duration	updated_at
2P83SK	precision-machining	精密特种加工技术	310	310	914	2026-06-15T06:39:10.416Z
3GTGV8	c-language-basics	C语言基础	257	231	4460	2026-06-03T06:41:15.387Z
3GTGV8	cnc-machining-full-2026	数控加工技术练习题库	483	406	5484	2026-06-10T05:36:45.342Z
3GTGV8	precision-machining	精密特种加工技术	814	668	9588	2026-06-17T03:59:27.382Z
3GTGV8	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	47	2026-06-17T02:54:10.989Z
45JSH3	c-language-basics	C语言基础	1165	1053	50929	2026-06-03T06:56:09.390Z
4QT438	c-language-basics	C语言基础	629	311	61654	2026-06-03T06:34:05.404Z
4QT438	cnc-machining-full-2026	数控加工技术练习题库	159	96	45142	2026-06-10T00:33:12.359Z
4QT438	electromechanical-transmission-memorize-supplement	机电传动控制技术	60	0	9061	2026-06-09T12:35:56.593Z
4QT438	precision-machining	精密特种加工技术	679	493	14142	2026-06-17T03:10:57.385Z
4QT438	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	3901	2026-06-17T04:16:11.364Z
69ZNMQ	cnc-machining-full-2026	数控加工技术练习题库	273	152	579	2026-06-10T04:14:33.741Z
69ZNMQ	precision-machining	精密特种加工技术	354	211	5155	2026-06-17T04:15:39.623Z
6Z68VC	c-language-basics	C语言基础	237	214	7107	2026-06-03T03:18:49.587Z
7Y4C7C	c-language-2026-code	C语言2026年题库全解通关代码	190	190	10358	2026-06-03T08:45:33.365Z
7Y4C7C	c-language-basics	C语言基础	2808	2662	28346	2026-06-18T02:19:13.239Z
7Y4C7C	cnc-machining-full-2026	数控加工技术练习题库	2030	1852	11525	2026-06-10T12:22:41.149Z
7Y4C7C	electromechanical-transmission-memorize-supplement	机电传动控制技术	80	0	12973	2026-06-08T06:03:42.832Z
7Y4C7C	precision-machining	精密特种加工技术	3729	3549	82075	2026-06-17T02:29:15.451Z
7Y4C7C	precision-machining-review	精密加工与特种加工技术-简答题库	110	0	13318	2026-06-17T02:35:27.103Z
96SATJ	cnc-machining-full-2026	数控加工技术练习题库	101	90	1336	2026-06-10T02:55:26.072Z
96SATJ	precision-machining	精密特种加工技术	310	310	155	2026-06-17T03:24:52.727Z
96SATJ	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	4291	2026-06-17T03:04:47.327Z
9PKYT9	precision-machining	精密特种加工技术	310	310	236	2026-06-16T07:26:14.088Z
ARMEEL	c-language-basics	C语言基础	579	514	1158	2026-06-03T06:55:27.233Z
C465PK	cnc-machining-full-2026	数控加工技术练习题库	9	0	3354	2026-06-07T15:19:58.565Z
C465PK	precision-machining	精密特种加工技术	310	310	32	2026-06-16T08:14:03.599Z
C465PK	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	3611	2026-06-16T09:14:33.779Z
CJK4RW	cnc-machining-full-2026	数控加工技术练习题库	18	4	55	2026-06-09T16:33:37.578Z
D6FQM3	cnc-machining-full-2026	数控加工技术练习题库	159	148	339	2026-06-09T16:41:10.175Z
GCJM4Q	cnc-machining-full-2026	数控加工技术练习题库	172	147	3658	2026-06-10T03:35:15.329Z
GCJM4Q	precision-machining	精密特种加工技术	4013	3798	19609	2026-06-17T04:20:16.517Z
GCJM4Q	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	956	2026-06-17T01:27:44.248Z
HE7KXV	cnc-machining-full-2026	数控加工技术练习题库	92	70	183	2026-06-07T10:27:20.049Z
HE7KXV	precision-machining	精密特种加工技术	311	310	470	2026-06-17T00:49:14.494Z
HE7KXV	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	1560	2026-06-15T07:41:46.037Z
HHAZTG	c-language-basics	C语言基础	237	214	13840	2026-06-02T13:00:38.072Z
JDDUJ4	cnc-machining-full-2026	数控加工技术练习题库	159	148	10209	2026-06-10T05:29:13.051Z
JDDUJ4	precision-machining	精密特种加工技术	310	310	3681	2026-06-16T07:03:41.296Z
JDDUJ4	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	20	2026-06-17T02:39:40.207Z
JZCBZZ	precision-machining	精密特种加工技术	3	3	14	2026-06-18T03:00:02.394Z
K9L9LC	precision-machining	精密特种加工技术	519	471	2729	2026-06-16T17:07:25.172Z
K9L9LC	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	12654	2026-06-17T06:16:30.904Z
KLLMTD	c-language-basics	C语言基础	237	214	596	2026-06-03T03:58:27.118Z
KLLMTD	cnc-machining-full-2026	数控加工技术练习题库	6	6	18	2026-06-10T02:08:38.144Z
MJ8QPB	cnc-machining-full-2026	数控加工技术练习题库	674	609	2037	2026-06-09T12:49:44.079Z
MJ8QPB	electromechanical-transmission-memorize-supplement	机电传动控制技术	20	0	228	2026-06-07T17:04:42.256Z
PJA6KE	cnc-machining-full-2026	数控加工技术练习题库	19	0	309	2026-06-10T05:37:07.004Z
RHCCNG	c-language-basics	C语言基础	483	301	41054	2026-06-03T04:40:36.791Z
RHCCNG	cnc-machining-full-2026	数控加工技术练习题库	662	499	3825	2026-06-10T03:56:15.348Z
RHCCNG	electromechanical-transmission-memorize-supplement	机电传动控制技术	20	0	207	2026-06-09T06:55:53.566Z
RHCCNG	precision-machining	精密特种加工技术	323	319	2227	2026-06-16T16:49:20.445Z
RHCCNG	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	3778	2026-06-17T04:18:33.839Z
S29KZS	precision-machining	精密特种加工技术	70	50	2637	2026-06-15T07:52:25.875Z
SAHV7C	c-language-basics	C语言基础	2370	2187	9177	2026-06-03T06:36:41.955Z
SAHV7C	cnc-machining-full-2026	数控加工技术练习题库	160	149	8076	2026-06-10T03:58:26.421Z
SAHV7C	precision-machining	精密特种加工技术	905	791	13611	2026-06-17T04:04:46.743Z
SAHV7C	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	139	2026-06-17T00:26:24.087Z
T8ZLYP	cnc-machining-full-2026	数控加工技术练习题库	366	232	6040	2026-06-10T02:09:38.807Z
T8ZLYP	precision-machining	精密特种加工技术	487	487	2277	2026-06-16T04:38:12.762Z
TU46PT	c-language-basics	C语言基础	33	22	1210	2026-06-03T05:59:54.192Z
TU46PT	electromechanical-transmission-memorize-supplement	机电传动控制技术	20	0	254	2026-06-08T03:25:38.788Z
TU46PT	precision-machining	精密特种加工技术	320	140	5049	2026-06-16T06:58:13.230Z
TWW9YR	c-language-2026-code	C语言2026年题库全解通关代码	63	63	10	2026-06-03T03:32:50.340Z
TWW9YR	c-language-basics	C语言基础	589	315	8660	2026-06-03T05:17:44.081Z
V8S67F	precision-machining	数控精加工技术	13	7	15	2026-06-13T08:21:43.010Z
WNL8Q2	c-language-2026-code	C语言2026年题库全解通关代码	63	63	19	2026-06-02T14:46:42.350Z
WNL8Q2	c-language-basics	C语言基础	237	214	16364	2026-06-02T06:55:33.399Z
WNL8Q2	cnc-machining-full-2026	数控加工技术练习题库	159	148	3363	2026-06-09T15:30:58.505Z
WNL8Q2	precision-machining	精密特种加工技术	511	470	4023	2026-06-16T08:11:48.547Z
X5KAQF	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	1849	2026-06-17T03:40:07.210Z
ZGN2C9	c-language-basics	C语言基础	5	3	135	2026-06-02T13:31:48.377Z
ZGN2C9	cnc-machining-full-2026	数控加工技术练习题库	627	566	10403	2026-06-10T02:56:07.221Z
ZGN2C9	precision-machining	精密特种加工技术	310	310	18	2026-06-17T00:58:08.688Z
ZGN2C9	precision-machining-review	精密加工与特种加工技术-简答题库	22	0	14	2026-06-16T08:19:30.731Z
